repo_name,repo_url,pypi_rank,sample_group,ci_present,ci_server,ci_paths,build_tools,build_paths,testing_tools,testing_paths,testing_in_ci,cd_present,deployment_tools,deployment_paths,code_management_tools,provisioning_tools,versioning_automated,versioning_strategy
aiobotocore,https://github.com/aio-libs/aiobotocore,11,-,Yes,GitHub Actions,".github/workflows/botocore-sync.yml, .github/workflows/ci-cd.yml, .github/workflows/claude.yml, .github/workflows/evals.yml, .github/workflows/reusable-build.yml, .github/workflows/reusable-test.yml",setuptools,pyproject.toml,"coverage, nox, pytest, tox",".github/workflows/botocore-sync.yml, .github/workflows/ci-cd.yml, .github/workflows/reusable-test.yml, Makefile, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci-cd.yml,"black, flake8, pre-commit, ruff","astral-sh/setup-uv, nox, pip, tox, venv",Yes,Release Tags
python-dateutil,https://github.com/dateutil/dateutil,12,-,Yes,GitHub Actions,".github/workflows/publish.yml, .github/workflows/validate.yml","build, setuptools","pyproject.toml, setup.cfg, setup.py, tox.ini","coverage, pytest, tox",".github/workflows/publish.yml, .github/workflows/validate.yml, pyproject.toml, setup.cfg, setup.py, tox.ini",Yes,Yes,twine,tox.ini,"black, isort, pre-commit","actions/setup-python, pip, tox, venv",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
cryptography,https://github.com/pyca/cryptography,13,-,Yes,GitHub Actions,".github/workflows/auto-close-stale.yml, .github/workflows/benchmark.yml, .github/workflows/boring-open-awslc-bump.yml, .github/workflows/ci.yml, .github/workflows/downstream-version-bump.yml, .github/workflows/linkcheck.yml, .github/workflows/lock.yml, .github/workflows/pypi-publish.yml, .github/workflows/wheel-builder.yml, .github/workflows/x509-limbo-version-bump.yml",setuptools,pyproject.toml,"coverage, nox, pytest",".github/downstream.d/pyopenssl-release.sh, .github/workflows/benchmark.yml, .github/workflows/ci.yml, .github/workflows/linkcheck.yml, noxfile.py, pyproject.toml",Yes,Yes,astral_uv,.github/workflows/pypi-publish.yml,"isort, mypy, ruff","actions/setup-python, nox, pip, venv",Yes,Release Tags
six,https://github.com/benjaminp/six,14,-,Yes,GitHub Actions,".github/workflows/ci.yml, .github/workflows/publish.yml","build, setuptools",".github/workflows/publish.yml, setup.py","pytest, tox",".github/workflows/ci.yml, setup.cfg, setup.py, tox.ini",Yes,Yes,twine,.github/workflows/publish.yml,flake8,"actions/setup-python, pip, tox",Yes,Release Tags
numpy,https://github.com/numpy/numpy,15,-,Yes,"CircleCI, GitHub Actions",".circleci/config.yml, .github/workflows/circleci.yml, .github/workflows/codeql.yml, .github/workflows/compiler_sanitizers.yml, .github/workflows/cygwin.yml, .github/workflows/dependency-review.yml, .github/workflows/emscripten.yml, .github/workflows/labeler.yml, .github/workflows/linux-ibm.yml, .github/workflows/linux.yml, .github/workflows/linux_blas.yml, .github/workflows/linux_qemu.yml, .github/workflows/linux_simd.yml, .github/workflows/macos.yml, .github/workflows/mypy_primer.yml, .github/workflows/mypy_primer_comment.yml, .github/workflows/pixi-packages.yml, .github/workflows/scorecards.yml, .github/workflows/stubtest.yml, .github/workflows/typecheck.yml, .github/workflows/wheels.yml, .github/workflows/windows.yml","build, meson",".github/workflows/linux.yml, pyproject.toml","coverage, pytest",".github/workflows/compiler_sanitizers.yml, .github/workflows/cygwin.yml, .github/workflows/linux.yml, .github/workflows/linux_blas.yml, .github/workflows/linux_qemu.yml, .github/workflows/linux_simd.yml, .github/workflows/macos.yml, .github/workflows/typecheck.yml, .github/workflows/windows.yml, pyproject.toml",Yes,No,-,-,mypy,"actions/setup-python, astral-sh/setup-uv, pip, venv",No,-
cffi,https://github.com/python-cffi/cffi,16,-,Yes,GitHub Actions,.github/workflows/ci.yaml,"build, setuptools",".github/workflows/ci.yaml, pyproject.toml, setup.py",pytest,.github/workflows/ci.yaml,Yes,No,-,-,-,"actions/setup-python, pip, venv",No,-
pyyaml,https://github.com/yaml/pyyaml,17,-,Yes,GitHub Actions,.github/workflows/ci.yaml,"build, setuptools",".github/workflows/ci.yaml, pyproject.toml, setup.py","pytest, tox",".github/workflows/ci.yaml, Makefile, setup.py, tox.ini",Yes,No,-,-,-,"actions/setup-python, pip, tox, venv",No,-
grpcio-status,https://github.com/grpc/grpc,18,-,Yes,GitHub Actions,".github/workflows/pr-auto-fix.yaml, .github/workflows/pr-auto-tag.yaml, .github/workflows/pr-check-bzlmod-deps.yaml, .github/workflows/publish-to-bcr.yaml, .github/workflows/update-artifacts-branch.yaml",setuptools,"pyproject.toml, setup.py",coverage,"Makefile, setup.cfg, setup.py",No,No,-,-,"isort, pyright","actions/setup-python, pip, venv",No,-
pycparser,https://github.com/eliben/pycparser,19,-,Yes,GitHub Actions,.github/workflows/ci.yml,setuptools,"pyproject.toml, setup.py",unittest,Makefile,No,No,-,-,ruff,"actions/setup-python, astral-sh/setup-uv",No,-
pydantic,https://github.com/pydantic/pydantic,20,-,Yes,GitHub Actions,".github/workflows/ci.yml, .github/workflows/codspeed.yml, .github/workflows/coverage.yml, .github/workflows/dependencies-check.yml, .github/workflows/docs-update.yml, .github/workflows/integration.yml, .github/workflows/third-party.yml, .github/workflows/update-pydantic-people.yml, .github/workflows/upload-previews.yml","build, hatchling",".github/workflows/ci.yml, pyproject.toml","coverage, nox, pytest",".github/workflows/ci.yml, .github/workflows/codspeed.yml, .github/workflows/coverage.yml, .github/workflows/third-party.yml, .github/workflows/upload-previews.yml, Makefile, pyproject.toml",Yes,Yes,"astral_uv, pypa/gh-action-pypi-publish",.github/workflows/ci.yml,"flake8, isort, mypy, pre-commit, pyright, ruff","actions/setup-python, astral-sh/setup-uv, hatch, nox, pdm, pip, venv",Yes,Release Tags
pluggy,https://github.com/pytest-dev/pluggy,21,-,Yes,GitHub Actions,".github/workflows/deploy.yml, .github/workflows/test.yml",setuptools,pyproject.toml,"coverage, pytest, tox",".github/workflows/deploy.yml, .github/workflows/test.yml, .pre-commit-config.yaml, pyproject.toml, scripts/release.py, scripts/towncrier-draft-to-file.py, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/deploy.yml,"black, flake8, isort, mypy, pre-commit, ruff","actions/setup-python, pip, tox",Yes,"Release Tags, Semantic Versioning"
s3transfer,https://github.com/boto/s3transfer,22,-,Yes,GitHub Actions,".github/workflows/codeql.yml, .github/workflows/fail-master-prs.yml, .github/workflows/lint.yml, .github/workflows/pull-request-build.yml, .github/workflows/run-crt-test.yml, .github/workflows/run-tests.yml, .github/workflows/zizmor.yml",setuptools,setup.py,"coverage, nox, pytest, tox","pyproject.toml, scripts/ci/run-tests, tox.ini",No,No,-,-,"black, flake8, pre-commit, ruff","actions/setup-python, nox, pip, tox, venv",No,-
pygments,https://github.com/pygments/pygments,23,-,Yes,GitHub Actions,".github/workflows/build.yaml, .github/workflows/docs.yaml",hatchling,pyproject.toml,"coverage, pytest, tox",".github/workflows/build.yaml, .github/workflows/docs.yaml, scripts/check_sources.py, scripts/gen_mapfiles.py, scripts/release-checklist, tox.ini",Yes,Yes,twine,scripts/release-checklist,"black, pylint, ruff","actions/setup-python, hatch, pip, tox, venv",Yes,Release Tags
click,https://github.com/pallets/click,24,-,Yes,GitHub Actions,".github/workflows/lock.yaml, .github/workflows/pre-commit.yaml, .github/workflows/publish.yaml, .github/workflows/tests.yaml, .github/workflows/zizmor.yaml",flit,pyproject.toml,"coverage, pytest, tox",".github/workflows/tests.yaml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yaml,"flake8, isort, mypy, pre-commit, pyright, ruff","actions/setup-python, astral-sh/setup-uv, tox, venv",Yes,Release Tags
attrs,https://github.com/python-attrs/attrs,25,-,Yes,GitHub Actions,".github/workflows/build-docset.yml, .github/workflows/ci.yml, .github/workflows/codeql-analysis.yml, .github/workflows/codspeed.yml, .github/workflows/pypi-package.yml, .github/workflows/zizmor.yml",hatchling,pyproject.toml,"coverage, pytest, tox",".github/workflows/build-docset.yml, .github/workflows/ci.yml, .github/workflows/codspeed.yml, pyproject.toml, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/pypi-package.yml,"isort, mypy, pre-commit, pyright, ruff","actions/setup-python, hatch, tox, venv",Yes,"GitHub Releases, Release Tags"
protobuf,https://github.com/protocolbuffers/protobuf,26,-,Yes,GitHub Actions,".github/workflows/clear_caches.yml, .github/workflows/forked_pr_workflow_check.yml, .github/workflows/janitor.yml, .github/workflows/publish_to_bcr.yaml, .github/workflows/release_bazel_module.yaml, .github/workflows/release_prep.sh, .github/workflows/scorecard.yml, .github/workflows/staleness_check.yml, .github/workflows/staleness_refresh.yml, .github/workflows/test_bazel.yml, .github/workflows/test_cpp.yml, .github/workflows/test_csharp.yml, .github/workflows/test_hpb.yml, .github/workflows/test_java.yml, .github/workflows/test_objectivec.yml, .github/workflows/test_php.yml, .github/workflows/test_php_ext.yml, .github/workflows/test_python.yml, .github/workflows/test_release_branches.yml, .github/workflows/test_ruby.yml, .github/workflows/test_runner.yml, .github/workflows/test_rust.yml, .github/workflows/test_upb.yml, .github/workflows/test_yaml.yml, .github/workflows/update_php_repo.yml",-,-,"coverage, unittest",.github/workflows/test_upb.yml,Yes,No,-,-,-,"actions/setup-python, pip, venv",Yes,"GitHub Releases, Release Tags"
pydantic-core,https://github.com/pydantic/pydantic/tree/main/pydantic-core,27,-,No,-,-,-,-,-,-,No,No,-,-,-,-,No,-
anyio,https://github.com/agronholm/anyio,28,-,Yes,GitHub Actions,".github/workflows/publish.yml, .github/workflows/test-downstream.yml, .github/workflows/test.yml","build, setuptools",".github/workflows/publish.yml, pyproject.toml","coverage, pytest, tox",".github/workflows/test-downstream.yml, .github/workflows/test.yml, .pre-commit-config.yaml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yml,"flake8, isort, mypy, pre-commit, pyright, ruff","actions/setup-python, astral-sh/setup-uv, pip, tox",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
fsspec,https://github.com/fsspec/filesystem_spec,29,-,Yes,GitHub Actions,".github/workflows/main.yaml, .github/workflows/pypipublish.yaml",hatchling,pyproject.toml,"pytest, tox",".github/workflows/main.yaml, .pre-commit-config.yaml, pyproject.toml, setup.cfg",Yes,Yes,twine,.github/workflows/pypipublish.yaml,"flake8, isort, mypy, pre-commit, ruff","actions/setup-python, hatch, pip, tox",Yes,GitHub Releases
pandas,https://github.com/pandas-dev/pandas,30,-,Yes,GitHub Actions,".github/workflows/cache-cleanup.yml, .github/workflows/code-checks.yml, .github/workflows/codeql.yml, .github/workflows/comment-commands.yml, .github/workflows/deprecation-tracking-bot.yml, .github/workflows/docbuild-and-upload.yml, .github/workflows/package-checks.yml, .github/workflows/stale-pr.yml, .github/workflows/unit-tests.yml, .github/workflows/update-pixi-lock.yml, .github/workflows/wheels.yml","build, meson",".github/workflows/wheels.yml, pyproject.toml","coverage, pytest, unittest",".github/workflows/unit-tests.yml, .pre-commit-config.yaml, pyproject.toml, scripts/check_test_naming.py, scripts/tests/data/deps_expected_random.yaml, scripts/tests/data/deps_minimum.toml, scripts/tests/data/deps_unmodified_random.yaml, scripts/tests/test_check_test_naming.py, scripts/tests/test_inconsistent_namespace_check.py, scripts/tests/test_validate_exception_location.py, scripts/tests/test_validate_min_versions_in_sync.py, scripts/tests/test_validate_unwanted_patterns.py, scripts/validate_min_versions_in_sync.py",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/wheels.yml,"black, flake8, isort, mypy, pre-commit, pylint, pyright, ruff","actions/setup-python, pip, venv",Yes,"GitHub Releases, Release Tags"
pytest,https://github.com/pytest-dev/pytest,31,-,Yes,GitHub Actions,".github/workflows/deploy.yml, .github/workflows/doc-check-links.yml, .github/workflows/prepare-release-pr.yml, .github/workflows/stale.yml, .github/workflows/test.yml, .github/workflows/update-plugin-list.yml",setuptools,pyproject.toml,"coverage, pytest, tox, unittest",".github/workflows/deploy.yml, .github/workflows/doc-check-links.yml, .github/workflows/prepare-release-pr.yml, .github/workflows/test.yml, .github/workflows/update-plugin-list.yml, .pre-commit-config.yaml, pyproject.toml, scripts/generate-gh-release-notes.py, scripts/prepare-release-pr.py, scripts/release.py, scripts/update-plugin-list.py, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/deploy.yml,"black, flake8, isort, mypy, pre-commit, pylint, pyright, ruff","actions/setup-python, pip, tox",Yes,"Release Tags, Semantic Versioning"
h11,https://github.com/python-hyper/h11,32,-,Yes,GitHub Actions,.github/workflows/ci.yml,setuptools,setup.py,"coverage, pytest, tox",".github/workflows/ci.yml, tox.ini",Yes,No,-,-,"black, isort, mypy","actions/setup-python, pip, tox",No,-
markupsafe,https://github.com/pallets/markupsafe/,33,-,Yes,GitHub Actions,".github/workflows/lock.yaml, .github/workflows/pre-commit.yaml, .github/workflows/publish.yaml, .github/workflows/tests.yaml",setuptools,"pyproject.toml, setup.py","coverage, pytest, tox",".github/workflows/tests.yaml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yaml,"flake8, isort, mypy, pre-commit, pyright, ruff","actions/setup-python, astral-sh/setup-uv, tox, venv",Yes,Release Tags
iniconfig,https://github.com/pytest-dev/iniconfig,34,-,Yes,GitHub Actions,.github/workflows/test.yml,setuptools,pyproject.toml,"pytest, tox",".github/workflows/test.yml, .pre-commit-config.yaml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/test.yml,"flake8, isort, mypy, pre-commit, ruff","astral-sh/setup-uv, tox",Yes,"Release Tags, Semantic Versioning"
s3fs,https://github.com/fsspec/s3fs/,35,-,Yes,GitHub Actions,.github/workflows/ci.yml,"build, setuptools","release-procedure.md, setup.py",pytest,.github/workflows/ci.yml,Yes,Yes,twine,release-procedure.md,"black, flake8, pre-commit","actions/setup-python, pip",No,-
platformdirs,https://github.com/tox-dev/platformdirs,36,-,Yes,GitHub Actions,".github/workflows/check.yaml, .github/workflows/release.yaml",hatchling,pyproject.toml,"coverage, pytest, tox",".github/workflows/check.yaml, .pre-commit-config.yaml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/release.yaml,"isort, pre-commit, ruff","astral-sh/setup-uv, hatch, tox",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
annotated-types,https://github.com/annotated-types/annotated-types,37,-,Yes,GitHub Actions,.github/workflows/ci.yml,"build, hatchling",".github/workflows/ci.yml, pyproject.toml","coverage, pytest",".github/workflows/ci.yml, Makefile, pyproject.toml",Yes,Yes,twine,.github/workflows/ci.yml,"black, flake8, isort, mypy, pre-commit","actions/setup-python, hatch, pip",Yes,Release Tags
pip,https://github.com/pypa/pip,38,-,Yes,GitHub Actions,".github/workflows/ci.yml, .github/workflows/lock-threads.yml, .github/workflows/release.yml, .github/workflows/update-rtd-redirects.yml",flit,pyproject.toml,"coverage, nox, pytest, tox",".github/workflows/ci.yml, .pre-commit-config.yaml, noxfile.py, pyproject.toml, tests/unit/test_release_control.py",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/release.yml,"black, isort, mypy, pre-commit, pylint, ruff","actions/setup-python, nox, pip, tox, venv",Yes,Release Tags
wheel,https://github.com/pypa/wheel,39,-,Yes,GitHub Actions,".github/workflows/publish.yml, .github/workflows/test.yml",flit,pyproject.toml,"coverage, pytest, tox",".github/workflows/test.yml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yml,"flake8, isort, mypy, pre-commit, ruff","actions/setup-python, pip, tox",Yes,"GitHub Releases, Release Tags"
jinja2,https://github.com/pallets/jinja/,40,-,Yes,GitHub Actions,".github/workflows/lock.yaml, .github/workflows/pre-commit.yaml, .github/workflows/publish.yaml, .github/workflows/tests.yaml",flit,pyproject.toml,"coverage, pytest, tox",".github/workflows/tests.yaml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yaml,"flake8, isort, mypy, pre-commit, pyright, ruff","actions/setup-python, astral-sh/setup-uv, tox, venv",Yes,Release Tags
jmespath,https://github.com/jmespath/jmespath.py,41,-,Yes,GitHub Actions,".github/workflows/codeql.yml, .github/workflows/run-tests.yml","build, setuptools","scripts/release, setup.py","pytest, tox",".github/workflows/run-tests.yml, tox.ini",Yes,No,-,-,-,"actions/setup-python, pip, tox",No,-
importlib-metadata,https://github.com/python/importlib_metadata,42,-,Yes,GitHub Actions,.github/workflows/main.yml,"build, setuptools","pyproject.toml, tox.ini","coverage, pytest, tox",".github/workflows/main.yml, pyproject.toml, tox.ini",Yes,Yes,twine,tox.ini,"mypy, pre-commit, ruff","actions/setup-python, pip, tox",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
filelock,https://github.com/tox-dev/filelock,43,-,Yes,GitHub Actions,".github/workflows/check.yaml, .github/workflows/release.yaml",hatchling,pyproject.toml,"coverage, pytest, tox",".github/workflows/check.yaml, .pre-commit-config.yaml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/release.yaml,"isort, pre-commit, ruff","astral-sh/setup-uv, hatch, tox, venv",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
pathspec,https://github.com/cpburnz/python-pathspec,44,-,Yes,GitHub Actions,".github/workflows/publish-to-pypi.yaml, .github/workflows/publish-to-testpypi.yaml, .github/workflows/test-all.yaml, .github/workflows/test-quick.yaml","flit, setuptools","pyproject.toml, setup.cfg, setup.py","pytest, tox",".github/workflows/test-all.yaml, .github/workflows/test-quick.yaml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,".github/workflows/publish-to-pypi.yaml, .github/workflows/publish-to-testpypi.yaml",-,"actions/setup-python, pip, tox",Yes,GitHub Releases
pyjwt,https://github.com/jpadilla/pyjwt,45,-,Yes,GitHub Actions,".github/workflows/enforce-changelog-entry.yml, .github/workflows/main.yml, .github/workflows/pypi-package.yml, .github/workflows/stale.yml","build, setuptools",".github/workflows/main.yml, pyproject.toml","coverage, pytest, tox",".github/workflows/main.yml, pyproject.toml, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/pypi-package.yml,"flake8, mypy, pre-commit, ruff","actions/setup-python, pip, tox, venv",Yes,"GitHub Releases, Release Tags"
httpx,https://github.com/encode/httpx,46,-,Yes,GitHub Actions,".github/workflows/publish.yml, .github/workflows/test-suite.yml",hatchling,pyproject.toml,"coverage, pytest",".github/workflows/test-suite.yml, pyproject.toml, scripts/coverage, scripts/test",Yes,Yes,twine,scripts/publish,"isort, mypy, ruff","actions/setup-python, hatch, pip, venv",Yes,Release Tags
typing-inspection,https://github.com/pydantic/typing-inspection,47,-,Yes,GitHub Actions,".github/workflows/ci.yml, .github/workflows/coverage.yml, .github/workflows/docs_publish.yml","build, hatchling",".github/workflows/ci.yml, pyproject.toml","coverage, pytest",".github/workflows/ci.yml, .github/workflows/coverage.yml, Makefile, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci.yml,"flake8, isort, mypy, pre-commit, pylint, pyright, ruff","actions/setup-python, astral-sh/setup-uv, pip",Yes,"GitHub Releases, Release Tags"
python-dotenv,https://github.com/theskumar/python-dotenv,48,-,Yes,GitHub Actions,".github/workflows/release.yml, .github/workflows/test.yml","build, setuptools","Makefile, pyproject.toml","coverage, pytest, tox",".github/workflows/test.yml, Makefile, pyproject.toml, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/release.yml,"mypy, pre-commit, ruff","actions/setup-python, pip, tox",Yes,GitHub Releases
httpcore,https://github.com/encode/httpcore,49,-,Yes,GitHub Actions,".github/workflows/publish.yml, .github/workflows/test-suite.yml",hatchling,pyproject.toml,"coverage, pytest",".github/workflows/test-suite.yml, pyproject.toml, scripts/coverage, scripts/test, scripts/unasync.py",Yes,Yes,twine,scripts/publish,"isort, mypy, ruff","actions/setup-python, hatch, pip, venv",Yes,Release Tags
pytz,https://github.com/stub42/pytz,50,-,Yes,GitHub Actions,".github/workflows/main.yml, .github/workflows/publish.yml",-,-,-,-,No,Yes,"pypa/gh-action-pypi-publish, twine",".github/workflows/publish.yml, Makefile",flake8,"actions/setup-python, pip",Yes,Release Tags
zipp,https://github.com/jaraco/zipp,51,-,Yes,GitHub Actions,.github/workflows/main.yml,"build, setuptools","pyproject.toml, tox.ini","coverage, pytest, tox",".github/workflows/main.yml, pyproject.toml, tox.ini",Yes,Yes,twine,tox.ini,"mypy, pre-commit, ruff","actions/setup-python, pip, tox",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
rich,https://github.com/Textualize/rich,52,-,Yes,GitHub Actions,".github/workflows/codeql.yml, .github/workflows/codespell.yml, .github/workflows/comment.yml, .github/workflows/newissue.yml, .github/workflows/pythonpackage.yml, .github/workflows/readmechanged.yml","poetry-core, setuptools","pyproject.toml, setup.py","coverage, pytest, tox",".github/workflows/pythonpackage.yml, Makefile, pyproject.toml, tox.ini",Yes,No,-,-,"black, isort, mypy, pre-commit","actions/setup-python, pip, tox, venv",No,-
pyasn1,https://github.com/pyasn1/pyasn1,53,-,Yes,GitHub Actions,".github/workflows/main.yml, .github/workflows/pypi.yml","build, setuptools",".github/workflows/main.yml, .github/workflows/pypi.yml, pyproject.toml","coverage, tox, unittest",".github/workflows/main.yml, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/pypi.yml,-,"actions/setup-python, pip, tox",No,-
jsonschema,https://github.com/python-jsonschema/jsonschema,54,-,Yes,GitHub Actions,".github/workflows/ci.yml, .github/workflows/zizmor.yml",hatchling,pyproject.toml,"coverage, nox, pytest, unittest",".github/workflows/ci.yml, noxfile.py, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/ci.yml,"flake8, isort, mypy, pre-commit, ruff","actions/setup-python, astral-sh/setup-uv, hatch, nox, pip, venv",Yes,Release Tags
